Filename,ROI,Date,DOY,Red_Avg,Green_Avg,Blue_Avg,Red_SD,Green_SD,Blue_SD,Brightness_Avg,Brightness_SD,Green_Index,Green_Index_SD,Greenness_Excess_index,Greenness_Excess_index_SD,Red_index,Red_Index_SD,Blue_Index,Blue_Index_SD,plant
estuary_06_25_19_1200,1,6/25/2019 12:00,176,78.57116536,85.30554276,43.00644864,25.36233515,25.83669291,11.36949052,206.8831568,61.65027295,0.411454503,0.015066162,49.03347152,17.26135413,0.375196594,0.020024077,0.213348903,0.030805248,mixed
estuary_06_25_19_1200,2,6/25/2019 12:00,176,76.9171031,83.37101601,45.57058956,29.87626165,29.17056369,22.59616786,205.8587087,80.65511092,0.413366385,0.031893566,44.25433937,13.37777496,0.374810015,0.01918127,0.211823599,0.04062835,phragmites
estuary2_06_05_19_1200,1,6/5/2019 12:00,156,100.3054454,113.7322892,73.57850912,40.22555551,39.78510488,31.75626284,287.6162437,110.7234937,0.401951888,0.030562495,53.58062384,18.2877062,0.346528897,0.017004214,0.251519215,0.029265153,mixed
estuary2_06_05_19_1200,2,6/5/2019 12:00,156,30.80926023,38.61625793,28.80380591,23.49514673,26.99173478,17.16565902,98.22932407,65.79365981,0.391008874,0.065550164,17.61944972,20.90796629,0.299273528,0.036792185,0.309717598,0.072012747,phragmites
estuary2_06_11_19_1200,1,6/11/2019 12:00,162,88.80154486,100.2474153,55.30481283,19.89938018,20.84591188,18.06891028,244.353773,57.86023238,0.414124589,0.025257931,56.38847296,12.79117294,0.36486462,0.010635343,0.221010791,0.030507463,mixed
estuary2_06_11_19_1200,2,6/11/2019 12:00,162,58.08675647,70.63091737,41.08969737,29.8170666,29.67040549,25.99128981,169.8073712,84.46896675,0.443104296,0.083329692,42.08538089,14.18476129,0.335138773,0.038550086,0.221756931,0.063967545,phragmites
estuary3_06_17_19_1200,1,6/17/2019 12:00,168,128.9929282,142.8884053,71.90822195,36.44723657,36.15053816,31.50885352,343.7895555,102.3496948,0.423310536,0.036041233,84.87566055,21.59330573,0.377882029,0.018082182,0.198807435,0.044199149,mixed
estuary3_06_17_19_1200,2,6/17/2019 12:00,168,89.99694995,107.6339942,43.02426175,34.15292176,36.87037476,24.24715236,240.6552059,93.26290933,0.457563966,0.039774761,82.24677665,23.51483977,0.375536805,0.01506325,0.166899229,0.049840074,phragmites
estuary2_06_17_19_1200,1,6/17/2019 12:00,168,83.80054496,92.49427793,51.1106267,14.54183975,16.48403428,11.54226369,227.4054496,41.03864409,0.40758916,0.021762416,50.0773842,15.51477664,0.369118407,0.008287094,0.223292434,0.020669199,mixed
estuary2_06_17_19_1200,2,6/17/2019 12:00,168,70.08280255,80.19435851,52.75104641,25.88612782,27.15256558,22.79993003,203.0282075,75.43128348,0.401682763,0.026650487,37.55486806,9.812264037,0.345738611,0.009802265,0.252578626,0.02991312,phragmites
leftmarsh_05_07_19_1200,1,5/7/2019 12:00,127,86.43835331,76.79204644,57.42445445,17.23785963,16.62565033,15.48182955,220.6548542,48.87905224,0.348546266,0.010573332,9.721285125,6.469138846,0.393762406,0.013968041,0.257691328,0.01722389,c3
rightmarsh_03_14_19_1200,1,3/14/2019 12:00,73,76.94702915,62.12088701,46.74744197,16.1563979,15.25150826,13.85039171,185.8153581,45.04709827,0.334080254,0.004451932,0.547302891,2.310366036,0.418102467,0.020151141,0.247817279,0.019923681,c3
rightmarsh_03_14_19_1200,2,3/14/2019 12:00,73,87.23387097,72.71068548,59.23891129,6.243160004,6.403554763,6.440806778,219.1834677,18.57377132,0.331671697,0.004683116,-1.05141129,3.056763047,0.398450997,0.008983736,0.269877307,0.009715538,c3
rightmarsh_04_22_19_1200,1,4/22/2019 12:00,112,70.97308463,59.24763775,45.64388268,16.45998061,15.69921606,14.91414745,175.8646051,46.82676197,0.337176507,0.006954532,1.878308177,2.999924778,0.407352844,0.019404663,0.25547065,0.020930755,mixed
rightmarsh_04_22_19_1200,2,4/22/2019 12:00,112,89.73655506,77.038249,60.27453317,15.46215074,14.68427446,12.90893016,227.0493372,42.84710069,0.339185863,0.004256383,4.065409759,2.903592788,0.396617706,0.010178412,0.264196431,0.010632165,c3
rightmarsh_04_22_19_1200,3,4/22/2019 12:00,112,108.2462006,95.32320162,80.55724417,7.043128026,6.554336678,7.038255052,284.1266464,20.1653703,0.335566448,0.003176082,1.84295846,2.597911972,0.381190769,0.006339642,0.283242782,0.007810651,c3
rightmarsh_04_26_19_1200,1,4/26/2019 12:00,116,93.18986736,75.98759218,60.87942013,10.33554587,10.14827514,10.20129786,230.0568797,30.64070331,0.330299101,0.00252157,-2.094103138,1.694986035,0.406297458,0.009711654,0.263403441,0.009816044,c3
